timestamp,location,price,loyaltynum
01/06/2014,Brew've Been Served,4.17,L2247
01/06/2014,Brew've Been Served,9.6,L9406
01/06/2014,Hallowed Grounds,16.53,L8328
01/06/2014,Coffee Shack,11.51,L6417
01/06/2014,Hallowed Grounds,12.93,L1107
01/06/2014,Brew've Been Served,4.27,L4034
01/06/2014,Brew've Been Served,11.2,L6110
01/06/2014,Brew've Been Served,15.39,L2343
01/06/2014,Abila Zacharo,26.93,L9018
01/06/2014,Hippokampos,34.03,L6267
01/06/2014,Kalami Kafenion,8.64,L4034
01/06/2014,Katerina’s Café,33.54,L6110
01/06/2014,Hippokampos,36.54,L1107
01/06/2014,Ouzeri Elian,20.74,L2247
01/06/2014,Kalami Kafenion,13.08,L6417
01/06/2014,Hippokampos,38.25,L2343
01/06/2014,Hippokampos,30.88,L9406
01/06/2014,Kalami Kafenion,27.4,L8328
01/06/2014,Katerina’s Café,38.65,L6110
01/06/2014,Katerina’s Café,26.46,L8328
01/06/2014,Frydos Autosupply n' More,80.85,L2343
01/06/2014,Frydos Autosupply n' More,175.87,L2247
01/06/2014,Katerina’s Café,28,L6267
01/06/2014,Hippokampos,24.41,L6417
01/06/2014,Frydos Autosupply n' More,89.3,L4034
01/06/2014,Katerina’s Café,26.51,L9406
01/07/2014,Brew've Been Served,12.74,L2247
01/07/2014,Hallowed Grounds,8.91,L8328
01/07/2014,Coffee Shack,16.63,L6417
01/07/2014,Brew've Been Served,4.39,L4034
01/07/2014,Brew've Been Served,11.91,L9406
01/07/2014,Hallowed Grounds,8.42,L1107
01/07/2014,Coffee Cameleon,12.44,L9018
01/07/2014,Brew've Been Served,17.4,L2343
01/07/2014,Hallowed Grounds,10.33,L6267
01/07/2014,Brew've Been Served,15.66,L6110
01/07/2014,Kalami Kafenion,11.64,L4034
01/07/2014,Ouzeri Elian,28.37,L9406
01/07/2014,Ouzeri Elian,17.71,L2247
01/07/2014,Abila Zacharo,32.4,L9018
01/07/2014,Gelatogalore,36.5,L1107
01/07/2014,Ouzeri Elian,21.85,L6110
01/07/2014,Katerina’s Café,37.44,L2343
01/07/2014,Gelatogalore,15.4,L6267
01/07/2014,Hippokampos,37.57,L8328
01/07/2014,Albert's Fine Clothing,78.91,L6417
01/07/2014,Katerina’s Café,31.6,L6110
01/07/2014,Katerina’s Café,25.02,L2343
01/07/2014,Guy's Gyros,23.12,L2247
01/07/2014,Katerina’s Café,25.54,L6267
01/07/2014,Ouzeri Elian,20.53,L1107
01/08/2014,Hallowed Grounds,5.85,L8328
01/08/2014,Brew've Been Served,3.09,L9406
01/08/2014,Hallowed Grounds,3.9,L1107
01/08/2014,Coffee Shack,13.13,L6417
01/08/2014,Brew've Been Served,14.88,L2247
01/08/2014,Brew've Been Served,8.4,L4034
01/08/2014,Brew've Been Served,3.92,L2343
01/08/2014,Hallowed Grounds,11.63,L6267
01/08/2014,Brew've Been Served,11.48,L6110
01/08/2014,Coffee Cameleon,16.17,L9018
01/08/2014,Abila Zacharo,22.13,L4034
01/08/2014,Gelatogalore,32.79,L6110
01/08/2014,Kalami Kafenion,18.18,L6267
01/08/2014,Kalami Kafenion,22.49,L2343
01/08/2014,Ouzeri Elian,24.92,L2247
01/08/2014,Abila Zacharo,28.25,L1107
01/08/2014,Gelatogalore,22.27,L9018
01/08/2014,Kalami Kafenion,34.98,L6417
01/08/2014,Gelatogalore,39.94,L9406
01/08/2014,Kalami Kafenion,31.43,L8328
01/08/2014,Katerina’s Café,34.25,L4034
01/08/2014,Katerina’s Café,13.83,L6110
01/08/2014,Frydos Autosupply n' More,214.07,L9018
01/08/2014,Frydos Autosupply n' More,268.89,L6267
01/08/2014,Hippokampos,16.75,L6417
01/08/2014,Katerina’s Café,16.93,L2343
01/09/2014,Hallowed Grounds,15.24,L8328
01/09/2014,Coffee Shack,5.01,L6417
01/09/2014,Brew've Been Served,18.25,L2343
01/09/2014,Hallowed Grounds,16.72,L6267
01/09/2014,Coffee Cameleon,4.88,L9018
01/09/2014,Hallowed Grounds,15.33,L1107
01/09/2014,Gelatogalore,19.2,L4034
01/09/2014,Hippokampos,27.47,L9018
01/09/2014,Gelatogalore,23.23,L6110
01/09/2014,Hippokampos,19.22,L2247
01/09/2014,Gelatogalore,24.68,L1107
01/09/2014,Kalami Kafenion,19.84,L9406
01/09/2014,Kalami Kafenion,10.94,L8328
01/09/2014,Kalami Kafenion,35.99,L6267
01/09/2014,Guy's Gyros,27.69,L2343
01/09/2014,Gelatogalore,36.75,L6417
01/09/2014,Katerina’s Café,35.92,L8328
01/09/2014,Katerina’s Café,26.6,L9406
01/09/2014,Katerina’s Café,30.97,L6267
01/09/2014,Katerina’s Café,29.82,L2343
01/09/2014,Albert's Fine Clothing,224.52,L6417
01/09/2014,Katerina’s Café,13.78,L4034
01/09/2014,Guy's Gyros,8.23,L2247
01/09/2014,Shoppers' Delight,258.43,L1107
01/10/2014,Hallowed Grounds,16.75,L8328
01/10/2014,Brew've Been Served,4.88,L9406
